svtype	szbin	count	reference	merge
DUP	>=5k	0	grch38	naive
INV	[0,50)	0	grch38	naive
INV	[50,100)	0	grch38	naive
INV	[100,200)	0	grch38	naive
INV	[200,300)	0	grch38	naive
INV	[300,400)	0	grch38	naive
INV	[400,600)	0	grch38	naive
INV	[600,800)	0	grch38	naive
INV	[800,1k)	0	grch38	naive
INV	[1k,2.5k)	0	grch38	naive
INV	[2.5k,5k)	0	grch38	naive
INV	>=5k	0	grch38	naive
NON	[0,50)	0	grch38	naive
NON	[50,100)	0	grch38	naive
NON	[100,200)	0	grch38	naive
NON	[200,300)	0	grch38	naive
NON	[300,400)	0	grch38	naive
NON	[400,600)	0	grch38	naive
NON	[600,800)	0	grch38	naive
NON	[800,1k)	0	grch38	naive
NON	[1k,2.5k)	0	grch38	naive
NON	[2.5k,5k)	0	grch38	naive
NON	>=5k	0	grch38	naive
UNK	[0,50)	0	grch38	naive
UNK	[50,100)	0	grch38	naive
UNK	[100,200)	0	grch38	naive
UNK	[200,300)	0	grch38	naive
UNK	[300,400)	0	grch38	naive
UNK	[400,600)	0	grch38	naive
UNK	[600,800)	0	grch38	naive
UNK	[800,1k)	0	grch38	naive
UNK	[1k,2.5k)	0	grch38	naive
UNK	[2.5k,5k)	0	grch38	naive
UNK	>=5k	0	grch38	naive
DEL	[0,50)	0	grch38	survivor
DEL	[50,100)	11918	grch38	survivor
DEL	[100,200)	6791	grch38	survivor
DEL	[200,300)	2443	grch38	survivor
DEL	[300,400)	3551	grch38	survivor
DEL	[400,600)	1500	grch38	survivor
DEL	[600,800)	792	grch38	survivor
DEL	[800,1k)	496	grch38	survivor
DEL	[1k,2.5k)	1939	grch38	survivor
DEL	[2.5k,5k)	1147	grch38	survivor
DEL	>=5k	1006	grch38	survivor
INS	[0,50)	0	grch38	survivor
INS	[50,100)	13376	grch38	survivor
INS	[100,200)	8052	grch38	survivor
INS	[200,300)	3426	grch38	survivor
INS	[300,400)	8447	grch38	survivor
INS	[400,600)	2554	grch38	survivor
INS	[600,800)	1104	grch38	survivor
INS	[800,1k)	788	grch38	survivor
INS	[1k,2.5k)	2513	grch38	survivor
INS	[2.5k,5k)	1509	grch38	survivor
INS	>=5k	981	grch38	survivor
DUP	[0,50)	0	grch38	survivor
DUP	[50,100)	0	grch38	survivor
DUP	[100,200)	0	grch38	survivor
DUP	[200,300)	0	grch38	survivor
DUP	[300,400)	0	grch38	survivor
DUP	[400,600)	0	grch38	survivor
DUP	[600,800)	0	grch38	survivor
DUP	[800,1k)	0	grch38	survivor
DUP	[1k,2.5k)	0	grch38	survivor
DUP	[2.5k,5k)	0	grch38	survivor
DUP	>=5k	0	grch38	survivor
INV	[0,50)	0	grch38	survivor
INV	[50,100)	0	grch38	survivor
INV	[100,200)	0	grch38	survivor
INV	[200,300)	0	grch38	survivor
INV	[300,400)	0	grch38	survivor
INV	[400,600)	0	grch38	survivor
INV	[600,800)	0	grch38	survivor
INV	[800,1k)	0	grch38	survivor
INV	[1k,2.5k)	0	grch38	survivor
INV	[2.5k,5k)	0	grch38	survivor
INV	>=5k	0	grch38	survivor
NON	[0,50)	0	grch38	survivor
NON	[50,100)	0	grch38	survivor
NON	[100,200)	0	grch38	survivor
NON	[200,300)	0	grch38	survivor
NON	[300,400)	0	grch38	survivor
NON	[400,600)	0	grch38	survivor
NON	[600,800)	0	grch38	survivor
NON	[800,1k)	0	grch38	survivor
NON	[1k,2.5k)	0	grch38	survivor
NON	[2.5k,5k)	0	grch38	survivor
NON	>=5k	0	grch38	survivor
UNK	[0,50)	0	grch38	survivor
UNK	[50,100)	0	grch38	survivor
UNK	[100,200)	0	grch38	survivor
UNK	[200,300)	0	grch38	survivor
UNK	[300,400)	0	grch38	survivor
UNK	[400,600)	0	grch38	survivor
UNK	[600,800)	0	grch38	survivor
UNK	[800,1k)	0	grch38	survivor
UNK	[1k,2.5k)	0	grch38	survivor
UNK	[2.5k,5k)	0	grch38	survivor
UNK	>=5k	0	grch38	survivor
DEL	[0,50)	0	grch38	truvari
DEL	[50,100)	27456	grch38	truvari
DEL	[100,200)	14540	grch38	truvari
DEL	[200,300)	5494	grch38	truvari
DEL	[300,400)	5339	grch38	truvari
DEL	[400,600)	3217	grch38	truvari
DEL	[600,800)	1617	grch38	truvari
DEL	[800,1k)	922	grch38	truvari
DEL	[1k,2.5k)	2646	grch38	truvari
DEL	[2.5k,5k)	1202	grch38	truvari
DEL	>=5k	1022	grch38	truvari
INS	[0,50)	0	grch38	truvari
INS	[50,100)	42192	grch38	truvari
INS	[100,200)	29213	grch38	truvari
INS	[200,300)	13992	grch38	truvari
INS	[300,400)	15687	grch38	truvari
INS	[400,600)	10811	grch38	truvari
INS	[600,800)	5177	grch38	truvari
INS	[800,1k)	3284	grch38	truvari
INS	[1k,2.5k)	8033	grch38	truvari
INS	[2.5k,5k)	2667	grch38	truvari
INS	>=5k	1231	grch38	truvari
DUP	[0,50)	0	grch38	truvari
DUP	[50,100)	0	grch38	truvari
DUP	[100,200)	0	grch38	truvari
DUP	[200,300)	0	grch38	truvari
DUP	[300,400)	0	grch38	truvari
DUP	[400,600)	0	grch38	truvari
DUP	[600,800)	0	grch38	truvari
DUP	[800,1k)	0	grch38	truvari
DUP	[1k,2.5k)	0	grch38	truvari
DUP	[2.5k,5k)	0	grch38	truvari
DUP	>=5k	0	grch38	truvari
INV	[0,50)	0	grch38	truvari
INV	[50,100)	0	grch38	truvari
INV	[100,200)	0	grch38	truvari
INV	[200,300)	0	grch38	truvari
INV	[300,400)	0	grch38	truvari
INV	[400,600)	0	grch38	truvari
INV	[600,800)	0	grch38	truvari
INV	[800,1k)	0	grch38	truvari
INV	[1k,2.5k)	0	grch38	truvari
INV	[2.5k,5k)	0	grch38	truvari
INV	>=5k	0	grch38	truvari
NON	[0,50)	0	grch38	truvari
NON	[50,100)	0	grch38	truvari
NON	[100,200)	0	grch38	truvari
NON	[200,300)	0	grch38	truvari
NON	[300,400)	0	grch38	truvari
NON	[400,600)	0	grch38	truvari
NON	[600,800)	0	grch38	truvari
NON	[800,1k)	0	grch38	truvari
NON	[1k,2.5k)	0	grch38	truvari
NON	[2.5k,5k)	0	grch38	truvari
NON	>=5k	0	grch38	truvari
UNK	[0,50)	0	grch38	truvari
UNK	[50,100)	0	grch38	truvari
UNK	[100,200)	0	grch38	truvari
UNK	[200,300)	0	grch38	truvari
UNK	[300,400)	0	grch38	truvari
UNK	[400,600)	0	grch38	truvari
UNK	[600,800)	0	grch38	truvari
UNK	[800,1k)	0	grch38	truvari
UNK	[1k,2.5k)	0	grch38	truvari
UNK	[2.5k,5k)	0	grch38	truvari
UNK	>=5k	0	grch38	truvari
DEL	[0,50)	0	hg19	exact
DEL	[50,100)	34025	hg19	exact
DEL	[100,200)	18620	hg19	exact
DEL	[200,300)	7071	hg19	exact
DEL	[300,400)	6291	hg19	exact
DEL	[400,600)	3841	hg19	exact
DEL	[600,800)	1874	hg19	exact
DEL	[800,1k)	1038	hg19	exact
DEL	[1k,2.5k)	2953	hg19	exact
DEL	[2.5k,5k)	1289	hg19	exact
DEL	>=5k	1055	hg19	exact
INS	[0,50)	0	hg19	exact
INS	[50,100)	67195	hg19	exact
INS	[100,200)	52095	hg19	exact
INS	[200,300)	26734	hg19	exact
INS	[300,400)	37643	hg19	exact
INS	[400,600)	21891	hg19	exact
INS	[600,800)	13096	hg19	exact
INS	[800,1k)	8185	hg19	exact
INS	[1k,2.5k)	21245	hg19	exact
INS	[2.5k,5k)	8985	hg19	exact
INS	>=5k	4765	hg19	exact
DUP	[0,50)	0	hg19	exact
DUP	[50,100)	0	hg19	exact
DUP	[100,200)	0	hg19	exact
